Afore,Period,mutual_funds_current,mutual_funds_historical,mutual_funds_growth_rate,mutual_funds_absolute_change,third_party_current,third_party_historical,third_party_growth_rate,third_party_absolute_change,total_active_current,total_active_historical,total_active_growth_rate,total_active_absolute_change,current_period
Coppel,3Y,235429976.0,0.0,inf,235429976.0,0.0,0.0,0.0,0.0,235429976.0,0.0,inf,235429976.0,2025-06
Inbursa,3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Invercap,3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
PensionISSSTE,3Y,0.0,0.0,0.0,0.0,216235169.0,192675506.0,12.23,23559663.0,216235169.0,192675506.0,12.23,23559663.0,2025-06
Principal,3Y,0.0,50559601.0,-100.0,-50559601.0,0.0,0.0,0.0,0.0,0.0,50559601.0,-100.0,-50559601.0,2025-06
Profuturo,3Y,680442820.0,213912093.0,218.09,466530727.0,0.0,0.0,0.0,0.0,680442820.0,213912093.0,218.09,466530727.0,2025-06
SURA,3Y,1931002180.0,1483181021.0,30.19,447821159.0,0.0,0.0,0.0,0.0,1931002180.0,1483181021.0,30.19,447821159.0,2025-06
XXI Banorte,3Y,486639128.0,751349534.0,-35.23,-264710406.0,1500859007.0,1222112904.0,22.81,278746103.0,1987498135.0,1973462439.0,0.71,14035697.0,2025-06
Azteca,5Y,715414617.0,0.0,inf,715414617.0,0.0,0.0,0.0,0.0,715414617.0,0.0,inf,715414617.0,2025-06
Banamex,5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Coppel,5Y,235429976.0,0.0,inf,235429976.0,0.0,0.0,0.0,0.0,235429976.0,0.0,inf,235429976.0,2025-06
Inbursa,5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Invercap,5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
PensionISSSTE,5Y,0.0,0.0,0.0,0.0,216235169.0,306908358.0,-29.54,-90673188.0,216235169.0,306908358.0,-29.54,-90673188.0,2025-06
Principal,5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Profuturo,5Y,680442820.0,0.0,inf,680442820.0,0.0,0.0,0.0,0.0,680442820.0,0.0,inf,680442820.0,2025-06
SURA,5Y,1931002180.0,508970745.0,279.39,1422031435.0,0.0,0.0,0.0,0.0,1931002180.0,508970745.0,279.39,1422031435.0,2025-06
XXI Banorte,5Y,486639128.0,4403522.0,10951.14,482235606.0,1500859007.0,1242572737.0,20.79,258286271.0,1987498135.0,1246976258.0,59.39,740521877.0,2025-06
