Afore,Period,mutual_funds_current,mutual_funds_historical,mutual_funds_growth_rate,mutual_funds_absolute_change,third_party_current,third_party_historical,third_party_growth_rate,third_party_absolute_change,total_active_current,total_active_historical,total_active_growth_rate,total_active_absolute_change,current_period
Azteca,YTD,715414617.0,559930035.0,27.77,155484582.0,0.0,0.0,0.0,0.0,715414617.0,559930035.0,27.77,155484582.0,2025-06
Banamex,YTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Coppel,YTD,235429976.0,213309784.0,10.37,22120192.0,0.0,0.0,0.0,0.0,235429976.0,213309784.0,10.37,22120192.0,2025-06
Inbursa,YTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Invercap,YTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
PensionISSSTE,YTD,0.0,0.0,0.0,0.0,216235169.0,195918455.0,10.37,20316714.0,216235169.0,195918455.0,10.37,20316714.0,2025-06
Principal,YTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Profuturo,YTD,680442820.0,609641620.0,11.61,70801200.0,0.0,0.0,0.0,0.0,680442820.0,609641620.0,11.61,70801200.0,2025-06
SURA,YTD,1931002180.0,1800165162.0,7.27,130837018.0,0.0,0.0,0.0,0.0,1931002180.0,1800165162.0,7.27,130837018.0,2025-06
XXI Banorte,YTD,486639128.0,440916186.0,10.37,45722942.0,1500859007.0,1359843447.0,10.37,141015560.0,1987498135.0,1800759633.0,10.37,186738502.0,2025-06
Azteca,1Y,715414617.0,637820323.0,12.17,77594294.0,0.0,0.0,0.0,0.0,715414617.0,637820323.0,12.17,77594294.0,2025-06
Banamex,1Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Coppel,1Y,235429976.0,242982707.0,-3.11,-7552731.0,0.0,0.0,0.0,0.0,235429976.0,242982707.0,-3.11,-7552731.0,2025-06
Inbursa,1Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
Invercap,1Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
PensionISSSTE,1Y,0.0,0.0,0.0,0.0,216235169.0,212586301.0,1.72,3648868.0,216235169.0,212586301.0,1.72,3648868.0,2025-06
Principal,1Y,0.0,113525860.0,-100.0,-113525860.0,0.0,0.0,0.0,0.0,0.0,113525860.0,-100.0,-113525860.0,2025-06
Profuturo,1Y,680442820.0,607584918.0,11.99,72857902.0,0.0,0.0,0.0,0.0,680442820.0,607584918.0,11.99,72857902.0,2025-06
SURA,1Y,1931002180.0,1882805026.0,2.56,48197154.0,0.0,0.0,0.0,0.0,1931002180.0,1882805026.0,2.56,48197154.0,2025-06
XXI Banorte,1Y,486639128.0,861399296.0,-43.51,-374760168.0,1500859007.0,1335875725.0,12.35,164983282.0,1987498135.0,2197275022.0,-9.55,-209776886.0,2025-06
Azteca,3Y,715414617.0,656670977.0,8.95,58743641.0,0.0,0.0,0.0,0.0,715414617.0,656670977.0,8.95,58743641.0,2025-06
Banamex,3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06
